Population,Continent,Status,Mated,Duration
NY,NAm,Control,1,20
NY,NAm,Control,1,15
NY,NAm,Control,1,24
NY,NAm,Control,1,30
NY,NAm,Control,1,16
NY,NAm,Control,1,20
NY,NAm,Control,1,22
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,1,23
NY,NAm,Control,1,23
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,1,17
NY,NAm,Control,1,24
NY,NAm,Control,1,15
NY,NAm,Control,1,20
NY,NAm,Control,1,17
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,1,26
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,Control,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T1,0,NA
NY,NAm,T2,1,17
NY,NAm,T2,1,18
NY,NAm,T2,1,17
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,1,16
NY,NAm,T2,1,15
NY,NAm,T2,1,15
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,1,17
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,1,19
NY,NAm,T2,1,19
NY,NAm,T2,1,17
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,1,17
NY,NAm,T2,1,19
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,1,15
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T2,0,NA
NY,NAm,T3,1,19
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
NY,NAm,T3,0,NA
